"gene","log2FoldChange","padj","status"
"ENSG00000168477.17",-4.0102046939877,1.23094532682252e-172,"DOWN"
"ENSG00000256663.1",3.3194678550063,7.29357086310208e-172,"UP"
"ENSG00000165810.16",-3.99135721255098,2.44956788012002e-171,"DOWN"
"ENSG00000162073.13",2.74836319235104,6.70762444175602e-171,"UP"
"ENSG00000132170.19",-3.37760134511203,1.62039206871577e-170,"DOWN"
"ENSG00000262995.1",-3.6601454540964,2.04544593916111e-170,"DOWN"
"ENSG00000123975.4",2.63363558988292,2.50838108429225e-170,"UP"
"ENSG00000149090.11",-3.53660108390127,1.15355721872511e-169,"DOWN"
"ENSG00000122952.16",2.55260232909293,1.55838561120286e-169,"UP"
"ENSG00000176438.12",-2.97385072760969,8.27292748748419e-169,"DOWN"
"ENSG00000109674.3",3.38778825081251,1.87944811016607e-168,"UP"
"ENSG00000104415.13",3.67764867633149,4.26273994807546e-168,"UP"
"ENSG00000099260.10",-2.89167857597552,5.23651116388991e-168,"DOWN"
"ENSG00000244193.1",-4.21274971263775,2.6443858208849e-167,"DOWN"
"ENSG00000259347.6",-3.38212221598144,4.72534889898454e-167,"DOWN"
"ENSG00000079462.7",2.44259559474877,6.05777586706396e-167,"UP"
"ENSG00000080986.12",3.18792516787251,6.84807991105583e-167,"UP"
"ENSG00000162062.14",2.80550898249106,1.0136539241013e-166,"UP"
"ENSG00000011426.10",3.3733686175699,1.99498762583328e-166,"UP"
"ENSG00000157456.7",3.07840647521196,2.04777702129995e-166,"UP"
"ENSG00000129810.14",3.23644779571598,7.43031565384039e-166,"UP"
"ENSG00000154839.9",3.34254336756582,1.26301277966701e-165,"UP"
"ENSG00000226650.5",3.66910157910676,6.94419325107379e-165,"UP"
"ENSG00000174804.3",-2.55627939450006,8.69978704364171e-165,"DOWN"
"ENSG00000165197.4",-4.91296322923723,1.19254255746466e-164,"DOWN"
"ENSG00000134690.10",3.00355163543979,1.96613014117892e-164,"UP"
"ENSG00000165474.5",4.33240710381644,2.68370819077152e-164,"UP"
"ENSG00000198624.12",-3.0104086684662,3.18552467950631e-163,"DOWN"
"ENSG00000165480.15",3.05948950446462,4.56043053788471e-163,"UP"
"ENSG00000089685.14",3.55587220694829,1.04175504065139e-162,"UP"
"ENSG00000105664.10",4.44223362350885,1.41401906030778e-162,"UP"
"ENSG00000167900.11",3.06813664970894,2.20184338342896e-162,"UP"
"ENSG00000137727.12",-3.08608603154754,2.27734411152165e-162,"DOWN"
"ENSG00000261266.2",3.39200850456055,5.19477157795411e-162,"UP"
"ENSG00000164330.16",-2.99630510574258,1.08809879714348e-161,"DOWN"
"ENSG00000271333.1",-1.59988658501863,1.12142860890047e-161,"DOWN"
"ENSG00000118193.11",3.51496703923324,2.18586258458441e-161,"UP"
"ENSG00000187730.8",3.19809626508992,2.8253103464499e-161,"UP"
"ENSG00000117399.13",3.51162197766611,4.89268493098252e-161,"UP"
"ENSG00000283683.1",-5.13526756042625,7.24830794386834e-161,"DOWN"
"ENSG00000146670.9",3.06053080221083,1.50764901267354e-160,"UP"
"ENSG00000118596.11",-3.34439582630091,1.50972959673231e-160,"DOWN"
"ENSG00000173208.3",-4.12698926948049,4.21407174728109e-160,"DOWN"
"ENSG00000186871.6",2.84194450030632,1.09815732491164e-159,"UP"
"ENSG00000131747.14",3.49463650859587,2.26658922808769e-159,"UP"
"ENSG00000105971.14",-2.85824254668934,2.48290106223473e-159,"DOWN"
"ENSG00000101447.14",3.4680288253751,2.54823276532636e-159,"UP"
"ENSG00000256633.1",-2.59130035011695,2.96503637825407e-159,"DOWN"
"ENSG00000111206.12",3.22291330677908,1.79620982298508e-158,"UP"
"ENSG00000075218.18",3.01787607212217,3.57107640679686e-158,"UP"
"ENSG00000179921.14",-2.97704783952892,6.60343395615719e-158,"DOWN"
"ENSG00000267686.1",-1.44972890418671,6.60640655812122e-158,"DOWN"
"ENSG00000196611.4",6.44974858961018,7.23256661763097e-158,"UP"
"ENSG00000164087.7",2.09061451785285,4.42045892149928e-156,"UP"
"ENSG00000116678.19",-2.74038946072478,8.95127706132286e-156,"DOWN"
"ENSG00000137807.13",2.59783242322085,8.98686205820812e-156,"UP"
"ENSG00000270132.1",3.63713627110269,9.55285006351938e-156,"UP"
"ENSG00000108381.10",-3.58102969760818,1.57300208849428e-155,"DOWN"
"ENSG00000169258.6",2.85448721033993,1.61948053967207e-155,"UP"
"ENSG00000174059.16",-2.14859259709051,1.78160634040499e-155,"DOWN"
"ENSG00000171227.6",-3.02349440888943,1.89597399736991e-155,"DOWN"
"ENSG00000211445.11",-3.73218339054338,2.41093566900491e-155,"DOWN"
"ENSG00000188368.9",2.23544232996382,2.71274157809433e-155,"UP"
"ENSG00000124615.17",-2.04710690482824,3.71378889086745e-155,"DOWN"
"ENSG00000168497.4",-4.00413655032683,7.34665302299082e-155,"DOWN"
"ENSG00000076382.16",2.79623982986285,8.05535968027864e-155,"UP"
"ENSG00000113368.11",2.42901930898464,1.82998713249328e-154,"UP"
"ENSG00000260940.1",-1.73765862579326,2.0160890307022e-154,"DOWN"
"ENSG00000198901.13",2.63927787410925,2.10391782246589e-154,"UP"
"ENSG00000135127.11",2.68782367539461,2.35762930378585e-154,"UP"
"ENSG00000240868.1",-3.60143085712484,2.78040791783472e-154,"DOWN"
"ENSG00000183010.16",2.34213456343645,3.10435528285461e-154,"UP"
"ENSG00000138160.5",2.50146005912106,4.31581967281363e-154,"UP"
"ENSG00000263155.5",-3.3346515435688,1.18831824737014e-153,"DOWN"
"ENSG00000137812.19",2.84529219872987,3.28397125461941e-153,"UP"
"ENSG00000115459.17",-1.4881784284166,3.7013351533061e-153,"DOWN"
"ENSG00000248290.1",-3.78323094554899,1.24151745657235e-152,"DOWN"
"ENSG00000167779.7",-3.24460703590699,4.76613227003582e-152,"DOWN"
"ENSG00000213186.7",1.74844048742078,7.28523579208348e-152,"UP"
"ENSG00000263585.1",2.44583522372522,1.16118126078854e-151,"UP"
"ENSG00000254862.5",-2.99162633286199,1.20951306254047e-151,"DOWN"
"ENSG00000132837.14",-2.81668288780004,2.24985797681535e-151,"DOWN"
"ENSG00000143549.19",1.24405079974018,5.32901256552405e-151,"UP"
"ENSG00000101441.4",7.76839204686866,1.67717701019045e-150,"UP"
"ENSG00000205726.14",-1.78049866556861,2.61477413292642e-150,"DOWN"
"ENSG00000189134.3",-2.73405939550925,2.77226787797204e-150,"DOWN"
"ENSG00000148773.13",3.10222623920636,4.61288240958685e-150,"UP"
"ENSG00000258725.1",2.63389326899415,4.61288240958685e-150,"UP"
"ENSG00000111665.11",2.88939331960268,1.69743946905089e-148,"UP"
"ENSG00000121152.9",2.77096203212319,2.01586624327982e-148,"UP"
"ENSG00000284246.1",-1.20040507489644,2.915313651349e-148,"DOWN"
"ENSG00000101057.15",3.80862728716552,4.23618773346835e-148,"UP"
"ENSG00000178999.12",3.35548004226133,5.37878259273164e-148,"UP"
"ENSG00000035499.12",2.93586376920045,8.70013691090649e-148,"UP"
"ENSG00000131069.19",-1.71511497270065,9.55075728389881e-148,"DOWN"
"ENSG00000223656.1",-2.97851181400117,1.62854799238601e-147,"DOWN"
"ENSG00000051180.16",2.53961281031573,1.66680327078742e-147,"UP"
"ENSG00000076706.16",-2.20288955809315,6.11280216353919e-147,"DOWN"
"ENSG00000227467.3",-3.62245875736935,8.69670995392079e-147,"DOWN"
"ENSG00000248019.2",-2.19328374619897,9.67166985676284e-147,"DOWN"
"ENSG00000154736.5",-3.03146326359129,1.97043986636301e-146,"DOWN"
"ENSG00000206172.8",-4.66731881193297,2.48171192964893e-146,"DOWN"
"ENSG00000267512.1",1.41839276296827,2.65874891202487e-146,"UP"
"ENSG00000255471.1",-3.11854825326141,2.88763595952524e-146,"DOWN"
"ENSG00000013810.18",2.33438849279677,3.97418966839798e-146,"UP"
"ENSG00000172061.8",3.79050935062643,4.89573950309516e-146,"UP"
